Ano,Região,Cultura,Quantidade_Produzida_Toneladas,CDD_dias_secos_consecutivos,Precipitacao_Total_mm,Temperatura_Media_C
2013,Sudeste,Café (em grão) Total,2595105.0,42.75,1873.1,25.53
2013,Sudeste,Cana-de-açúcar,514623424.0,42.75,1873.1,25.53
2013,Sudeste,Laranja,13989589.0,42.75,1873.1,25.53
2013,Sudeste,Milho (em grão),11932192.0,42.75,1873.1,25.53
2014,Sudeste,Café (em grão) Total,2445657.0,42.27,1758.39,25.7
2014,Sudeste,Cana-de-açúcar,481277697.0,42.27,1758.39,25.7
2014,Sudeste,Laranja,13345087.0,42.27,1758.39,25.7
2014,Sudeste,Milho (em grão),11020109.0,42.27,1758.39,25.7
2015,Sudeste,Café (em grão) Total,2237579.0,53.19,1609.85,25.99
2015,Sudeste,Cana-de-açúcar,499677593.0,53.19,1609.85,25.99
2015,Sudeste,Laranja,13357098.0,53.19,1609.85,25.99
2015,Sudeste,Milho (em grão),11564629.0,53.19,1609.85,25.99
2016,Sudeste,Café (em grão) Total,2707657.0,51.38,1741.58,25.78
2016,Sudeste,Cana-de-açúcar,517437694.0,51.38,1741.58,25.78
2016,Sudeste,Laranja,13881678.0,51.38,1741.58,25.78
2016,Sudeste,Milho (em grão),10481710.0,51.38,1741.58,25.78
2017,Sudeste,Café (em grão) Total,2287249.0,61.46,1748.23,25.74
2017,Sudeste,Cana-de-açúcar,525003504.0,61.46,1748.23,25.74
2017,Sudeste,Laranja,14407113.0,61.46,1748.23,25.74
2017,Sudeste,Milho (em grão),11976736.0,61.46,1748.23,25.74
2018,Sudeste,Café (em grão) Total,3068987.0,49.82,1800.4,25.57
2018,Sudeste,Cana-de-açúcar,506287629.0,49.82,1800.4,25.57
2018,Sudeste,Laranja,13906684.0,49.82,1800.4,25.57
2018,Sudeste,Milho (em grão),11172599.0,49.82,1800.4,25.57
2019,Sudeste,Café (em grão) Total,2596948.0,53.5,1671.08,25.91
2019,Sudeste,Cana-de-açúcar,503600893.0,53.5,1671.08,25.91
2019,Sudeste,Laranja,14330917.0,53.5,1671.08,25.91
2019,Sudeste,Milho (em grão),12314873.0,53.5,1671.08,25.91
2020,Sudeste,Café (em grão) Total,3226125.0,62.39,1666.41,25.86
2020,Sudeste,Cana-de-açúcar,515045916.0,62.39,1666.41,25.86
2020,Sudeste,Laranja,14038508.0,62.39,1666.41,25.86
2020,Sudeste,Milho (em grão),12239652.0,62.39,1666.41,25.86
2021,Sudeste,Café (em grão) Total,2531244.0,57.65,1771.78,25.54
2021,Sudeste,Cana-de-açúcar,480396829.0,57.65,1771.78,25.54
2021,Sudeste,Laranja,13567947.0,57.65,1771.78,25.54
2021,Sudeste,Milho (em grão),10548964.0,57.65,1771.78,25.54
2022,Sudeste,Café (em grão) Total,2660792.0,52.38,1699.81,25.48
2022,Sudeste,Cana-de-açúcar,499854416.0,52.38,1699.81,25.48
2022,Sudeste,Laranja,14205261.0,52.38,1699.81,25.48
2022,Sudeste,Milho (em grão),12696067.0,52.38,1699.81,25.48
2023,Sudeste,Café (em grão) Total,2883521.0,55.97,1428.39,25.92
2023,Sudeste,Cana-de-açúcar,527119491.0,55.97,1428.39,25.92
2023,Sudeste,Laranja,14891743.0,55.97,1428.39,25.92
2023,Sudeste,Milho (em grão),13221436.0,55.97,1428.39,25.92
